index,tweet,clean_tweet
853718218,hello,hello
853718219,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",LMFAOOOO I HATE BLACK PEOPLE This is why there's black people and niggers
853718220,"""@jayswaggkillah: ""@JacklynAnnn: @jayswaggkillah Is a fag"" jackie jealous"" Neeeee",is a fag jackie jealous neeeee
853718221,@Zhugstubble You heard me bitch but any way I'm back th texas so wtf u talking about bitch ass nigga,you heard me bitch but any way i m back th texas so wtf u talking about bitch ass nigga
853718222,"@elaynay your a dirty terrorist and your religion is a fucking joke, you go around screaming Allah akbar doing terrorist shit. Dirty faggot.",your a dirty terrorist and your religion is a fucking joke you go around screaming allah akbar doing terrorist shit dirty faggot
853718223,RT @ivanrabago_: @_WhitePonyJr_ looking like faggots?,rt whiteponyjr looking like faggots
853718224,Well I thought you knew actually RT @KingHorseDick: Man why y'all didn't tell me I was a dick riding ass faggot? Y'all not real &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;,well i thought you knew actually rt man why y all didn t tell me i was a dick riding ass faggot y all not real 128557 128557 128557 128557 128557 128557
853718225,"@Stonisnipezz I know. It was a joke, faggot.",i know it was a joke faggot
853718226,I'm tired of people saying I look like my brother &amp; calling me Deondre' like serious Succ My Ass fag asses,i m tired of people saying i look like my brother amp calling me deondre like serious succ my ass fag asses
853718227,#VoteBlue2014 Yeah. CUZ 8 million people in faggot ass #newyork are #chickenshit JEWS&gt; FUCK THEM right? Fuck Bibi Netanyahu. RIGHT?,voteblue2014 yeah cuz 8 million people in faggot ass newyork are chickenshit jews gt fuck them right fuck bibi netanyahu right
